virus_name,refseq_id,host_name,virus_lineage,evidence
Acinetobacter phage AB3,NC_021337,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus; Friunavirus AB3,Literature
Acinetobacter phage Ab3-TPeters,PP763256,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab31,OR045355,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Ab5,PP763257,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab59,OR045357,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Ab65,OR045358,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Ab69,OR045356,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,RefSeq
Acinetobacter phage Ab7,PP763258,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab9,PP763254,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Abau_Attikon1,PP532882,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage Abgy2021-4-1,OR770645,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,"Literature, RefSeq"
Acinetobacter phage Abgy2021-6-2,OR770644,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage AbIPP1,PQ201581,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage AbKT21phiIII,NC_048142,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus AbKT21III,"Literature, RefSeq"
Acinetobacter phage Abp1,NC_021316,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus Abp1,RefSeq
Acinetobacter phage AbP2,NC_041998,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; Obolenskvirus AbP2,"Literature, RefSeq"
Acinetobacter phage Abp53,JF317274,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saclayvirus; unclassified Saclayvirus,RefSeq
Acinetobacter phage ABp57,OR578534,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage Abp9,MN166083,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,Literature
Acinetobacter phage Abp95,MZ618622,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage ABPH49,MH533020,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; unclassified Vequintavirinae,RefSeq
Acinetobacter phage AbpL,OP171942,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus AbpL,"Literature, RefSeq"
Acinetobacter phage Abraxas,MT385367,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; Lazarusvirus berthold,RefSeq
Acinetobacter phage AbTP3phi1,OL770263,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus AbTP31,"Literature, RefSeq"
Acinetobacter phage AbTZA1,NC_049445,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Hadassahvirus; Hadassahvirus azbtza1,"Literature, RefSeq"
Acinetobacter phage Ab_121,MT623546,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saclayvirus; unclassified Saclayvirus,RefSeq
Acinetobacter phage AB_NC1,PV693690,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage AB_NC12,PV022100,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage Ab_SZ3,MW151244,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lokivirus; Lokivirus IMEAB3,RefSeq
Acinetobacter phage AB_SZ6,ON513429,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus ABSZ6,"Literature, RefSeq"
Acinetobacter phage AB_SZL2,PP965502,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; unclassified Beijerinckvirinae,RefSeq
Acinetobacter phage AB_SZL3,PP965501,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,RefSeq
Acinetobacter phage AB_SZL4,OQ828462,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,RefSeq
Acinetobacter phage AB_SZL7,PP982639,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lokivirus; unclassified Lokivirus,RefSeq
Acinetobacter phage Ab_WF01,OQ848592,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage AC4,OL770262,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; unclassified Lazarusvirus,"Literature, RefSeq"
Acinetobacter phage Acba_1,OQ101250,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,"Literature, RefSeq"
Acinetobacter phage Acba_11,OQ101254,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_13,OQ101255,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_14,OQ101256,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_15,OQ101257,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_16,OQ101258,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_18,OQ101259,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_19,PV067698,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage Acba_21,PV067692,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage Acba_3,OQ101248,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_4,OQ101249,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Acba_6,OQ101251,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus Acba6,"Literature, RefSeq"
Acinetobacter phage AIIMS-AbE5-RC,OP291336,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus AIIMSAbE5RC,"Literature, RefSeq"
Acinetobacter phage AM101,NC_049511,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; Lazarusvirus am101,RefSeq
Acinetobacter phage AM24,KY000079,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage AP22,NC_017984,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; Obolenskvirus AP22,RefSeq
Acinetobacter phage APK09,MZ868724,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK09,"Literature, RefSeq"
Acinetobacter phage APK127v,ON210142,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK127v,"Literature, RefSeq"
Acinetobacter phage APK15,MZ936315,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK15,"Literature, RefSeq"
Acinetobacter phage APK16,MZ868725,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK16,"Literature, RefSeq"
Acinetobacter phage APK20,MZ936316,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK20,"Literature, RefSeq"
Acinetobacter phage APK37.1,MZ967493,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK371,"Literature, RefSeq"
Acinetobacter phage APK77,MZ868726,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK77,"Literature, RefSeq"
Acinetobacter phage APK86,MZ936314,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK86,"Literature, RefSeq"
Acinetobacter phage Arbor,ON237674,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Aristophanes,MT783706,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Aristophanesvirus; Aristophanesvirus aristophanes,"Literature, RefSeq, UniProt"
Acinetobacter phage Bestia,MW316733,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage BM12,OP508218,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,"Literature, RefSeq"
Acinetobacter phage Bphi-R1888,MN516422,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Bphi-R2919,MN516421,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage Brutus,ON036882,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage BS46,MN276049,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage BUCT628,MZ593728,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,Literature
Acinetobacter phage BUCT629,MZ712044,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage BUCT775,PV277657,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage BUCT800,PV277658,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage BUCTT11,OR188766,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage BUCTT20,OR188767,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Cato,OM471864,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage EAb13,OQ717042,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage fEg-Aba01,MT344103,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage fJoAci01,PV839591,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage fJoAci04,PV839592,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage fLi-Aba02,MT344104,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage fLi-Aba03,MT344105,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage Fri1,NC_028848,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus Fri1,RefSeq
Acinetobacter phage Henu AB2,PV231796,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage Henu AB3,PV231797,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage Henu6,MK240351,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Zedzedvirus; Zedzedvirus zz1,RefSeq
Acinetobacter phage Herod,MW316732,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage HHU4,PQ619753,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage HN_Aba_01,PV471308,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,RefSeq
Acinetobacter phage HZY2308,OR730450,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage IME-200,NC_028987,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus APK2; Friunavirus IME200,RefSeq
Acinetobacter phage IMEAB3,NC_023590,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lokivirus; Lokivirus IMEAB3,RefSeq
Acinetobacter phage KARL-1,NC_049441,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; Lazarusvirus karl,"Literature, RefSeq"
Acinetobacter phage Liucustia,MW349133,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Saclayvirus; unclassified Saclayvirus,RefSeq
Acinetobacter phage Loki,NC_042137,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lokivirus; Lokivirus loki,Literature
Acinetobacter phage LPAB65,PV612228,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage LPAB85,PV679990,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage LZ35,NC_031117,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; Obolenskvirus LZ35,"Literature, RefSeq"
Acinetobacter phage M02,OQ693633,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage Maestro,MT949699,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Hadassahvirus; unclassified Hadassahvirus,"Literature, RefSeq"
Acinetobacter phage Melin,MW388003,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Hadassahvirus; unclassified Hadassahvirus,RefSeq
Acinetobacter phage Meroveus,MT741943,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; Lazarusvirus kimel,RefSeq
Acinetobacter phage Minot,MW388001,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Hadassahvirus; unclassified Hadassahvirus,RefSeq
Acinetobacter phage Mithridates,MW316731,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
